abandon [ə'bændən] v./n.放弃；放纵
beacon ['bi:kən] n.烽火；灯塔
beam [bi:m] n.(房屋等)大梁；光线
bearing ['beəriŋ] n.关系，意义；方位
beat [bi:t] v.心跳；搅拌
bedeck [bi'dek] v.装饰，修饰
bedlam ['bedləm] n.混乱，骚乱
befuddlement [bi'fʌdəlmənt] n.迷惑不解
begrudge [bi'ɡrʌdʒ] v.吝啬，勉强给
beholder [bi'həuldə(r)] n.目睹者，旁观者
behoove [bi'həuv] v.理应，有义务
belabor [bi'leibə] v.过分冗长地做或说；痛打
belated [bi'leitid] a.来得太迟的
beleaguer [bi'li:ɡə] v.围攻；骚扰
belie [bi'lai] v.掩饰；证明为假
belittle [bi'litl] v.轻视，贬抑
bellicose ['beləkəus] a.好战的，好斗的
belligerence [bi'lidʒərəns] n.交战；好战性，斗争性
bellwether ['bel,weðə] n.领导者，领头羊
bench [bentʃ] n.法官席；长凳
bend [bend] v.弯曲；屈服
benediction [beni'dikʃən] n.祝福；祈祷
benefactor ['benifæktə] n.行善者，捐助者
benevolent [bi'nevələnt] a.善心的，仁心的
benign [bi'nain] a.慈祥的
benison ['benizn] n.祝福，赐福
bent [bent] n.(天生)特长，爱好；a.弯曲的
bequeath [bi'kwi:ð] v. 遗赠
bequest [bi'kwest] n.遗产，遗赠物
berate [bi'reit] v.猛烈责骂
bereft [bi'reft] a.被剥夺的；缺少的
beset [bi'set] v.镶嵌；困扰
besiege [bi'si:dʒ] v.围攻，困扰
besmirch [bi'smə:tʃ] v.诽谤
bestial ['bestjəl] a.野兽的，残忍的
bestow [bi'stəu] v.给予，赐赠
betray [bi'trei] v.背叛；暴露
betroth [bi'trəuð] v.许配，和„订婚
beverage ['bevəridʒ] n.饮料
bewilder [bi'wildə] v.迷惑，混乱
bewildering [bi'wildəriŋ] a.令人迷惑的；费解的
bibliography [,bibli'ɔɡrəfi] n.文献学；参考书目
bibliophile ['bibliəufail] n.爱书者，藏书家
bicker ['bikə] v.为小事争吵
bid [bid] v.命令；出价，投标
bifurcate ['baifə:keit] v.分为两支，分叉
bigot ['biɡət] n.(宗教、政治等的)盲信者；心胸狭窄者
bile [bail] n.胆汁；愤怒
bilingual [bai'liŋɡwəl] a.(说)两种语言的
bilk [bilk] v.躲债；骗取
billowy ['biləui] a.如波浪般翻滚的
bin [bin] n.大箱子
biosphere ['baiəsfiə] n.生命层，生物圈
biped ['baiped] n.二足动物
bit [bit] n.钻头
bizarre [bi'zɑ:] a.奇异的，古怪的
blade [bleid] n.刀锋，刀口
blanch [blɑ:ntʃ] v.使变白；使(脸色)变苍白
bland [blænd] a.(人)情绪平稳的；(食物)无味的
blandishment ['blændiʃmənt] n.奉承，甘言劝诱
blasphemy ['blæsfimi] n.亵渎，渎神
blast [blɑ:st] n.一阵(大风)；冲击波；v.爆破；枯萎
blatant ['bleitənt] a.厚颜无耻的；显眼的；炫耀的
blazon ['bleizn] n.纹章，装饰；v.精确描绘
bleach [bli:tʃ] v.漂白
bleak [bli:k] a.寒冷的；阴沉的；阴郁的，暗淡的
blemish ['blemiʃ] v.损害；玷污；n.瑕疵，缺点
blight [blait] n.植物枯萎病；v.使„枯萎
blighted [blaitid] a.枯萎的；衰老的
bliss [blis] n.狂喜；福佑，天赐的福
blissful ['blisfuls] a.极幸福的
blithe [blaið] a.快乐的，无忧无虑的
blizzard ['blizəd] n.暴风雪
blockade [blɔ'keid] v./n.封锁
blockage ['blɔkidʒ] n.障碍物
blooming ['blu:miŋ] a.有花的；精力旺盛的
blotch [blɔtʃ] n.(皮肤上的)红斑点；(墨水等)大斑点
blowhard ['bləuhɑ:d] n.自吹自擂者
blue [blu:] a.忧伤的，沮丧的
blueprint ['blu:,print] n.蓝图；方案
blunder ['blʌndə] v.犯大错；笨拙地做；n.愚蠢之举
blunt [blʌnt] a.钝的；直率的；v.变钝
blur [blə:] n.模糊不清的事物；v.使„模糊
blurb [blə:b] n.简介；印在书籍封套上的推荐广告
blurt [blə:t] v.脱口而出
blush [blʌʃ] v.因某事物脸红；n.因羞愧等脸上泛出的红晕
bluster ['blʌstə] v.(指风)猛刮
blustering ['blʌstəriŋ] a.大吵大闹的
boast [bəust] v./n.自夸
bodyguard ['bɔdiɡɑ:d] n.保镖，侍卫
bog [bɔɡ] n.沼泽；v.使„陷入泥沼
boggle ['bɔɡl] v.畏缩不前；使退缩
bogus ['bəuɡəs] a.假装的，假的
boisterous ['bɔistərəs] a.喧闹的；猛烈的
bolster ['bəulstə] n.枕垫；v.支持，鼓励
bolt [bəult] v.急逃(to dash out; dart)；螺栓，门栓
bombast ['bɔmbæst] n.高调，夸大之辞
bombastic [bɔm'bæstik] a.夸夸其谈的
bondage ['bɔndidʒ] n.奴役，束缚
bonnet ['bɔnit] n.圆帽，扁平软帽
boom [bu:m] n.繁荣昌盛时期；v.发出深沉有回响的声音
boon [bu:n] n.恩惠，天赐福利
boor [buə] n.举止粗野的人；乡下人
boost [bu:st] v.往上推；增加，提高
bootless ['bu:tlis] a.无益处的；无用的
bore [bɔ:] v.钻孔；使厌烦；n.孔；令人厌烦的人
boredom ['bɔ:dəm] n.厌烦；令人厌烦的事物
boring ['bɔ:riŋ] a.无趣的，乏味的
botany ['bɔtəni] n.植物学
boulder ['bəuldə] n.巨砾
bouquet ['bu(:)kei] n.花束；芳香
bourgeois [bə'dʒɔis] a.中产阶级的；自私拜物的
bout [baut] n.一回合，一阵
boycott ['bɔikət] v.抵制(贸易)
brace [breis] v.使稳固，架稳；n.支撑物
bracelet ['breislit] n.手镯，臂镯
bracing ['breisiŋ] a.令人振奋的
bracket ['brækit] n.托架，支架
brag [bræɡ] v.吹嘘
braggadocio [bræɡə'dəuʃiəu] n.吹牛大王；大吹大擂
braggart ['bræɡət] n.吹牛者
braid [breid] n.穗子；发辫；v.编成辫子
brake [breik] n.刹车；v.减速，阻止
brand [brænd] n.商标；烙印；v.在某事物上打烙印
brandish ['brændiʃ] v.(威胁性地)挥舞
brash [bræʃ] a.性急的；无礼的
brassy ['bra:si] a.厚脸皮的，无礼的
brat [bræt] n.孩子；顽童
bravado [brə'vɑ:dəu] n.故作勇敢，虚张声势
bravura [brə'vjuərə] n.华美乐段；a.华美的；显示技巧的
brawl [brɔ:l] v./n.争吵，打架
brazen ['breizn] a.厚脸皮的
breach [bri:tʃ] n.裂缝，缺口；v.打破，裂开；违背
breadth [bredθ] n.宽度
breed [bri:d] v.繁殖；教养；n.品种，种类
bribe [braib] v.贿赂
bricklayer ['brikleiə(r)] n.砌砖盖房者，泥瓦匠
bridle ['braidl] n.马笼头，马缰；v.抑制，控制
brink [briŋk] n.(峭壁的)边沿，边缘
brisk [brisk] a.敏捷的，活泼的；清新健康的
bristle ['brisl] n.短而硬的毛发；v.(毛)竖起；发怒
brittle ['britl] a.易碎的，脆弱的
broach [brəutʃ] v.开瓶；提出(讨论)
brochure [brəu'ʃjuə] n.小册子，说明书
broker ['brəukə] n.经纪人
bromide ['brəumaid] n.平庸的人或话；溴化物
brood [bru:d] n.一窝幼鸟；v.孵蛋；冥想
brook [bruk] n.小河
browbeat ['braubi:t] v.欺侮；吓唬
bruise [bru:z] v.受伤，擦伤
bruit [bru:t] v.散布(谣言)
brunt [brʌnt] n.主要冲击力或影响，矛头
brusque [brʌsk] a.唐突的，鲁莽的
brutal ['bru:tl] a.残忍的；严酷的
brute [bru:t] n./a.野兽(的)；残忍的(人)
buck [bʌk] v.反对；n.雄鹿；雄兔
bucket ['bʌkit] n.圆桶
bucolic [bju:'kɔlik] a.乡村的；牧羊的
bud [bʌd] n.芽；花蕾
budge [bʌdʒ] v.移动一点儿；让步，改变立场
budget ['bʌdʒit] n.预算
buffoon [bʌ'fu:n] n.演出时的丑角；粗俗而愚蠢的人
bulb [bʌlb] n.植物的球茎；灯泡
bulge [bʌldʒ] n./v.膨胀，鼓起
bulk [bʌlk] n.体积；数量；大多数；大身躯
bully ['buli] v.以强欺弱，威胁；n.欺负别人者
bumptious ['bʌmpʃəs] a.傲慢的，自夸的
bungle ['bʌŋɡl] v.粗制滥造
buoy [bɔi] n.浮标；救生圈；v.鼓励
buoyant ['bɔiənt] a.有浮力的；快乐的
bureaucracy [bjuə'rɔkrəsi] n.官僚政治
burgeon ['bə:dʒ(ə)n] v.迅速成长，发展
burial ['beriəl] n.埋葬，埋藏
burlesque [bə:'lesk] n.讽刺或滑稽的戏剧
burnish ['bə:niʃ] v.擦亮，磨光
bust [bʌst] n.半身(雕)像
butt [bʌt] v.用头抵撞，顶撞；n.粗大的一端；烟蒂
buttress ['bʌtris] n.拱墙，拱壁；v.支持
byline ['bailain] n.(列作者名字的)报刊文章首行
byproduct ['bai,prɔdʌkt] n.副产品；副作用
bystander ['baistændə(r)] n.旁观者
Byzantine [bi'zæntain] a.像迷宫似的；难变更的
cabal [kə'bæl] n.政治阴谋小集团
cabinet ['kæbinit] n.橱柜；内阁
cache [kæʃ] n.贮藏处；v.将„藏于
cacophonous [kə'kɔfənəs] a.发音不和谐的，不协调的
cacophony [kæ'kɔfəni] n.难听的声音
cadet [kə'det] n.军校或警官学校的学生
cadge [kædʒ] v.乞讨；诈取，骗取
cajole [kə'dʒəul] v.(以甜言蜜语)哄骗
calamity [kə'læmiti] n.大灾祸，不幸之事
calcium ['kælsiəm] n.钙
calculated ['kælkjuleitid] a.蓄意的
calculating ['kælkjuleitiŋ] a.深谋远虑的，精明的
calculus ['kælkjuləs] n.微积分学；(医)结石
caldron ['kɔ:drən] n.(煮汤用的)大锅
calibrate ['kælibreit] v.量„口径；精确校准
calipers ['kælipəz] n.测径器，双脚规
calligraphy [kə'liɡrəfi] n.书法
callous ['kæləs] a.起老茧的，结硬块的；无情的
callow ['kæləu] a.(鸟)未生羽毛的；(人)未成熟的
calorie ['kæləri] n.卡路里；卡(热量单位)
calumniate [kə'lʌmnieit] v.诽谤，中伤
calumny ['kæləmni] n.诽谤，中伤
cameo ['kæmiəu] n.浮雕宝石；生动刻画；(演员)出演
camouflage ['kæmuflɑ:ʒ] n./v.掩饰，伪装
campaign [kæm'pein] n.战役；竞选活动
canary [kə'neəri] n.金丝雀；女歌星
candid ['kændid] a.率直的
candidacy ['kændidəsi] n.候选人的资格
candidate ['kændidit] n.候选人；参加考试的人
candor ['kændə] n.坦白，率直
cane [kein] n.拐杖
canine ['keinain] a.犬的，似犬的，犬科的
canny ['kæni] a.精明仔细的
canon ['kænən] n.真作,圣典
canonical [kə'nɔnikəl] a.（教会）符合规定的，被收入真经的
canopy ['kænəpi] n.蚊帐，华盖
cant [kænt] n.斜坡，斜面；隐语，术语，黑话；v.使倾斜
cantankerous [kən'tæŋkərəs] a.脾气坏的，好争吵的
canto ['kæntəu] n.(长诗的)篇
canvas ['kænvəs] n.画布；帆布
canvass ['kænvəs] v.细查；拉选票
canyon ['kænjən] n.峡谷
cape [keip] n.披肩，短斗篷；海角
capillary [kə'piləri] n.毛细血管
capitulate [kə'pitjuleit] v.(有条件地)投降
caprice [kə'pri:s] n.怪想；变化无常，任性
capricious [kə'priʃəs] a.怪想的；变化无常的，任性的
capsule ['kæpsju:l] n.荚；胶囊
caption ['kæpʃən] n.标题
captious ['kæpʃəs] a.吹毛求疵的
captivate ['kæptiveit] v.迷惑，吸引
capture ['kæptʃə] v.俘获；夺取或赢得；n.战利品
carafe [kə'rɑ:f] n.玻璃瓶
carapace ['kærəpeis] n.(蟹或龟等的)甲壳
carbohydrate ['kɑ:bəu'haidreit] n.碳水化合物
carcinogen [kɑ:'sinədʒən] n.致癌物
cardinal ['kɑ:dinəl] a.最重要的；n.红衣主教
cardiologist [,kɑ:di'ɔlədʒist] n.心脏病专家
caress [kə'res] n.爱抚，抚摸；v.爱抚或抚摸某人
careworn ['keəwɔ:n] a.受忧虑折磨的，饱经风霜的
cargo ['kɑ:ɡəu] n.(船、飞机等装载的)货物
caricature [kærikə'tjuə] n.讽刺画；滑稽模仿
carnivorous [kɑ:'nivərəs] a.肉食动物的
carol ['kærəl] n.赞美诗，颂歌；v.欢唱
carouse [kə'rauz] n.狂饮寻乐晚会
carp [kɑ:p] n.鲤鱼；v.吹毛求疵
carpenter ['kɑ:pintə] n.木匠
carrion ['kæriən] n.腐肉
cartographer [kɑ:'tɔɡrəfə] n.绘制地图者
cartoon [kɑ:'tu:n] n.漫画
carve [kɑ:v] v.雕刻；（把肉等）切成片
cast [kɑ:st] n.演员阵容；剧团；v.扔；铸造
caste [kɑ:st] n.社会等级，等级
castigate ['kæstiɡeit] v.惩治，严责
castigation [,kæsti'ɡeiʃn] n.惩罚，苛评
casual ['kæʒuəl] a.偶然的
casualty ['kæʒjuəlti] n.伤亡事故；伤亡者
cataclysm ['kætəklizəm] n.剧变，灾难(常指大洪水或地震)
catalog ['kætəlɔɡ] n.目录；系列
catalyst ['kætəlist] n.催化剂；促使事情发展的因素
catastrophe [kə'tæstrəfi] n.突如其来的大灾难
categorical [,kæti'ɡɔrikəl] a.无条件的，绝对的；分类的
category ['kætiɡəri] n.类别，范畴
cater ['keitə] v.迎合；提供饮食及服务
caterpillar ['kætəpilə] n.毛毛虫，蝴蝶的幼虫
catharsis [kæ'θɑ:sis] n.宣泄；情感(受艺术作用而起的)净化
cathedral [kə'θi:drəl] n.总教堂，主教堂
catholic ['kæθəlik] a.普遍的；广泛的；(人)宽厚的
caucus ['kɔ:kəs] n.政党高层会议
caulk [kɔ:k] v.填塞(隙缝使不漏水)
causal ['kɔ:zəl] a.原因的，因果关系的
caustic ['kɔ:stik] a.腐蚀性的；刻薄的；n.腐蚀剂
cauterize ['kɔ:təraiz] v.(用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血
cavalier [,kævə'liə] n.骑士，武士
cavalry ['kævəlri] n.骑兵部队，装甲部队
caveat ['keiviæt] n.警告，告诫
cavern ['kævən] n.大洞穴
cavil ['kævil] v.挑毛病，吹毛求疵
cavity ['kæviti] n.(牙齿等的)洞，腔
cavort [kə'vɔ:t] v.腾越，欢跃
cede [si:d] v.割让(土地权利)，放弃
celebrated ['selibreitid] a.有名的，知名的
celebrity [si'lebriti] n.名声；知名人士
celestial [si'lestjəl] a.天体的，天上的
cellar ['selə] n.地下室；酒窖
cello ['tʃeləu] n.大提琴
cement [si'ment] n.水泥；胶粘剂；v.粘合，巩固
censor ['sensə] v.审查，检查(书报)
census ['sensəs] n.人口统计
centaur ['sentɔ:] n.人头马怪物
centigrade ['sentiɡreid] a.百分度的，摄氏温度计的
centralization ['sentrəlai'zeiʃən] n.集中；集权化
centurion [sen'tjuəriən] n.古罗马的百人队长
ceramic [si'ræmik] n.陶瓷制品；a.陶器的
ceramics [si'ræmiks] n.制陶业；陶器
cereal ['siəriəl] n.谷类；谷类食品
cerebral ['seribrəl] a.大脑的；运用理性的（非感性的）
ceremonious [,seri'məunjəs] a.仪式隆重的
ceremony ['seriməni] n.典礼，仪式
certainty ['sə:tənti] n.确定的事情
certification [,sə:tifi'keiʃən] n.证明
certitude ['sə:titju:d] n.确定无疑
cessation [sə'seiʃən] n.中止，(短暂的)停止
cession ['seʃən] n.割让，转让
chafe [tʃeif] v.摩擦生热；擦痛；激怒
chaff [tʃɑ:f] n.谷物的皮壳，米糠
chagrin ['ʃæɡrin] v./n.失望，懊恼
chalice ['tʃælis] n.大酒杯；圣餐杯
chameleon [kə'mi:ljən] n.变色龙，蜥蜴；善变之人
champion ['tʃæmpjən] n.冠军；斗士；拥护者；v.拥护
championship ['tʃæmpjənʃip] n.冠军地位；锦标赛
chancellor ['tʃɑ:nsələ] n.大臣，总理，首席法官，大学校长
chandelier [,ʃændi'liə] n.枝形吊灯(烛台)
chant [tʃɑ:nt] n.圣歌；v.歌唱或背诵
chaos ['keiɔs] n.混乱
chapel ['tʃæpəl] n.(附属于教堂或监狱等的)小教堂
char [tʃɑ:] v.烧焦；使„燃烧成焦炭
characteristic [,kæriktə'ristik] a.有特色的；典型性的；n.与众不同的特征
characterization [,kæriktərai'zeiʃən] n.描绘，刻画
characterize ['kæriktəraiz] v.描述或刻画„的特点
charade [ʃə'rɑ:d] n.用动作等表演文字意义的字谜游戏
charisma [kə'rizmə] n.(大众爱戴的)领袖气质；魅力
charitable ['tʃæritəbl] a.仁慈的；宽厚的
charity ['tʃæriti] n.仁慈；施舍
charlatan ['ʃɑ:lətən] n.江湖郎中，骗子
charm [tʃɑ:m] n.魅力；咒语，咒符；v.吸引，迷住
charter ['tʃɑ:tə] n.(公司)执照；宪章；v.包租车船
chary ['tʃeəri] a.小心的，审慎的
chase [tʃeis] v.雕镂；追捕
chasm ['kæzəm] n.深渊，大沟；大差别
chaste [tʃeist] a.贞洁的；朴实的
chastise [tʃæs'taiz] v.（严惩）责打，体罚；谴责
chauvinistic [,ʃəuvi'nistik] a.沙文主义的，过分爱国主义的
check [tʃek] v.使突然停止，阻止
chef [ʃef] n.主厨
cherubic [tʃe'ru:bik] a.(尤指孩子)胖乎乎而天真无邪的
chicanery [ʃi'keinəri] n.诡计，狡诈
chide [tʃaid] v.叱责，指责
chimera [kai'miərə] n.神话怪物；不可能实现的梦幻
chip [tʃip] n.薄片，碎片；集成电路片
chipmunk ['tʃipmʌŋk] n.花栗鼠(像松鼠的美洲小动物)
chisel ['tʃizl] n.凿子；v.凿；欺骗
chivalrous ['ʃivəlrəs] a.武士精神的；对女人彬彬有礼的
choice [tʃɔis] a.上等的；精选的
choir ['kwaiə] n.(教堂的)歌唱队
choke [tʃəuk] v.(使)窒息，阻塞
choleric ['kɔlərik] a.易怒的，暴躁的
chord [kɔ:d] n.和弦，和音
choreography [,kɔ(:)ri'ɔɡrəfi] n.舞蹈；舞蹈编排
chorus ['kɔ:rəs] n.合唱队，歌舞团
chromatic [krə'mætik] a.彩色的，五彩的
chromosome ['krəuməsəum] n.染色体
chronic ['krɔnik] a.慢性的，长期的
chrysanthemum [kri'sænθ,əməm] n.菊，菊花
chuckle ['tʃʌkl] v.轻声地笑
churl [tʃə:l] n.粗鄙之人
cinder ['sində] n.余烬，矿渣
cipher ['saifə] n.零；无影响力的人；密码
circuit ['sə:kit] n.环行，环行道；线路；电路
circuitous [sə(:)'kju(:)itəs] a.迂回的，绕圈子的
circular ['sə:kjulə] a.圆形的
circulate ['sə:kjuleit] v.循环；流通；发行
circulation [,sə:kju'leiʃən] n.循环，流通；发行额
circumference [sə'kʌmfərəns] n.周围；圆周；周长
circumlocution [,sə:kəmlə'kju:ʃən] n.迂回累赘的陈述
circumscribe ['sə:kəmskraib] v.限制
circumstantial [,sə:kəm'stænʃəl] a.不重要的，偶然的；描述详细的
circumvent [,sə:kəm'vent] v.回避；用计谋战胜或规避
cistern ['sistən] n.贮水池
cite [sait] v.引用，引述
civil ['sivl] a.国内的；公民的；文明的
civilian [si'viljən] n.平民
civility [si'viliti] n.彬彬有礼，斯文
claim [kleim] v.要求或索要；n.声称拥有的权力
clairvoyance [kleə'vɔiəns] n.超人的洞察力
clam [klæm] n.蛤蜊，蛤肉；守秘密之人
clamor ['klæmə] v./n.吵闹，喧哗
clamp [klæmp] n.钳子；v.钳紧
clandestine [klæn'destin] a.秘密的，暗中从事的
clannish ['klæniʃ] a.排他的，门户之见的
clarify ['klærifai] v.澄清
clarion ['klæriən] a.声音高而清晰的；n.尖音小号声；尖音小号
clarity ['klæriti] n.清楚
clash [klæʃ] v.冲突，撞击
clasp [klɑ:sp] n.扣子；紧握
classify ['klæsifai] v.分类，归类
clause [klɔ:z] n.从句；(法律等)条款
clay [klei] n.黏土
cleavage ['kli:vidʒ] n.裂缝；分裂
cleave [kli:v] v.劈开；分裂
cleaver ['kli:və(r)] n.切肉刀
cleft [kleft] n.裂缝；a.劈开的
clemency ['klemənsi] n.温和；仁慈，宽厚
clement ['klemənt] a.温和的；仁慈的
clientele [klaiɑn'tel] n.(医生、律师的)顾客，(商店的)常客
climax ['klaimæks] n.顶点，高潮
clinch [klintʃ] v.钉牢；最终解决
cling [kliŋ] v.紧抓住；舍不得放弃
clinical ['klinikəl] a.临床的；冷静客观的
clip [klip] n.（金属）夹子，别针；v.修剪
clipper ['klipə] n.大剪刀；快速帆船
clique [kli:k] n.朋党派系，小集团
clog [klɔɡ] n.障碍； v.阻塞
cloister ['klɔistə] n.修道院
closet ['klɔzit] n.壁橱；a.秘密的
clot [klɔt] n.凝块；v.使凝结成块
cloture ['kləutʃə] n.辩论的终结(通过投票)
cloudburst ['klaudbə:st] n.大暴雨，豪雨
clout [klaut] n.用手猛击；权力，影响力
clown [klaun] n.小丑；v.扮小丑
cloying ['klɔiiŋ] a.甜得发腻的
clumsy ['klʌmzi] a.笨拙的；拙劣的
cluster ['klʌstə] n.串，束，群；v.成群，成串
coagulant [kəu'æɡjulənt] n.凝结剂；凝血剂
coagulate [kəu'æɡjuleit] v.使凝结
coagulation [kəu,æɡju'leiʃən] n.凝固
coalesce [,kəuə'les] v.联合，合并
coalition [,kəuə'liʃən] n.结合，联合
coarse [kɔ:s] a.粗糙的；低劣的；粗俗的
coarsen ['kɔ:sn] v.使某物变粗糙
coax [kəuks] v.哄诱，巧言诱哄
cob [kɔb] n.玉米棒子；雄天鹅
cobbler ['kɔblə] n.补鞋匠
cocoon [kə'ku:n] n.茧
coda ['kəudə] n.乐曲的尾声
coddle ['kɔdl] v.溺爱；悉心照料
